,time,resolution,open,high,low,close
50,1671626700000,900,16849.58,16868.2,16833.96,16834.92
51,1671627600000,900,16835.61,16854.0,16820.26,16849.09
52,1671628500000,900,16848.4,16854.9,16826.29,16831.72
53,1671629400000,900,16831.61,16846.37,16811.85,16838.55
54,1671630300000,900,16838.76,16852.36,16830.01,16849.62
55,1671631200000,900,16849.6,16855.97,16841.85,16848.54
56,1671632100000,900,16848.57,16868.15,16845.59,16865.48
57,1671633000000,900,16864.7,16879.0,16832.0,16872.48
58,1671633900000,900,16873.49,16916.63,16730.0,16798.52
59,1671634800000,900,16796.45,16846.48,16765.15,16828.9
60,1671635700000,900,16829.3,16844.0,16807.92,16828.42
61,1671636600000,900,16828.21,16872.75,16818.11,16854.12
62,1671637500000,900,16854.12,16864.2,16838.7,16862.07
63,1671638400000,900,16862.07,16866.83,16829.13,16847.3
64,1671639300000,900,16848.49,16851.16,16821.72,16833.95
65,1671640200000,900,16834.48,16835.0,16796.0,16815.6
66,1671641100000,900,16815.35,16816.26,16779.48,16780.85
67,1671642000000,900,16780.85,16809.0,16771.35,16804.5
68,1671642900000,900,16804.48,16812.72,16794.08,16803.2
69,1671643800000,900,16802.86,16814.79,16796.0,16803.95
70,1671644700000,900,16804.15,16821.2,16800.82,16815.0
71,1671645600000,900,16815.49,16833.67,16811.01,16817.11
72,1671646500000,900,16817.26,16818.63,16794.22,16805.91
73,1671647400000,900,16806.48,16810.7,16782.34,16789.37
74,1671648300000,900,16789.38,16799.33,16775.08,16789.65
75,1671649200000,900,16789.65,16806.64,16788.32,16799.0
76,1671650100000,900,16799.02,16806.64,16777.0,16779.98
77,1671651000000,900,16780.01,16794.93,16771.05,16784.77
78,1671651900000,900,16784.77,16790.19,16729.61,16756.34
79,1671652800000,900,16756.48,16760.0,16731.28,16758.69
80,1671653700000,900,16758.69,16766.78,16752.02,16753.72
81,1671654600000,900,16753.64,16774.41,16752.81,16770.47
82,1671655500000,900,16770.1,16783.41,16762.67,16781.68
83,1671656400000,900,16781.69,16801.83,16773.31,16790.7
84,1671657300000,900,16790.15,16799.0,16781.18,16794.02
85,1671658200000,900,16793.23,16796.75,16768.24,16771.0
86,1671659100000,900,16771.0,16796.6,16754.33,16793.2
87,1671660000000,900,16794.57,16794.93,16777.51,16782.01
88,1671660900000,900,16782.03,16787.0,16764.38,16769.8
89,1671661800000,900,16768.92,16776.39,16756.55,16772.76
90,1671662700000,900,16772.76,16780.0,16764.79,16765.14
91,1671663600000,900,16765.24,16816.0,16750.0,16807.21
92,1671664500000,900,16806.4,16815.57,16777.13,16781.75
93,1671665400000,900,16781.74,16807.45,16778.44,16800.57
94,1671666300000,900,16800.95,16842.0,16790.75,16825.1
95,1671667200000,900,16826.0,16835.18,16816.26,16824.22
